asunto;cuerpo;remitente;etiqueta
Aviso importante sobre su cuenta;Atención: Hemos recibido una solicitud para cerrar su cuenta de correo electrónico debido a que no superó nuestras comprobaciones de seguridad. Haga clic en VERIFICAR AHORA para evitar que su cuenta se cierre en las próximas 24 horas. Equipo de administración de Zimbra;ynomdedeu@azteca.es;phishing
Servicio de Notificaciones;Tenga en cuenta que su contraseña de correo electrónico está próxima a renovarse. Para evitar problemas al iniciar sesión, le recomendamos que la actualice con la misma contraseña o que la cambie. Conserve sus credenciales actuales. Le recomendamos que tome todas las medidas necesarias para evitar que su cuenta se desactive. Saludos, ©Zimbra Inc. ;madpillitteri@arca.gob.ar; phishing
INICIE SESIÓN EN SU CUENTA DE CORREO WEB DE ZIMBRA PARA PROTEGER SU CUENTA.;Estimada usuaria de corre electrónico, Estamos actualizando nuestra base de datos y el centro de cuentas de correo web de Zimbra, y hemos notado que su correo electrónico no superó el proceso de verificación/actualización en el que estamos trabajando actualmente. Para garantizar la máxima seguridad en Internet y evitar que su cuenta sea cerrada o eliminada, debe actualizarla para que sepamos que se trata de una cuenta en uso. Para completar la confirmación de su cuenta, ACTUALIZAR AQUÍ Gracias por elegir Zimbra Web-mail Web Access para sus necesidades de comunicación. Equipo de Servicio de Seguridad de Acceso Web de ZimbraWeb-mail®;ppanh@sbic.com.vn;phishing
Menos conciliacion manual para Fogapi;Hola Jenny, ¿Te has preguntado cómo Fogapi puede manejar el crecimiento de transacciones sin complicaciones? En el sector financiero de Perú, la infraestructura cambiante y los requisitos operativos pueden ser un desafío. En Lerian <https://www3.lerian.studio/r/c6f29fca-4822-5c0a-b2fa-7d8d756433b9>, ofrecemos un modelo de código fuente disponible que permite a Fogapi controlar su infraestructura sin depender de proveedores. Nuestro enfoque evita tarifas por transacción, ofreciendo un costo predecible. Además, puedes operar todo en tu propia nube, asegurando flexibilidad y cumplimiento.Cuando tengas tiempo, me encantaría saber si te interesa explorar cómo podemos apoyar a Fogapi. Si no eres la persona indicada para estas decisiones, agradecería que reenvíes este mensaje a quien corresponda.Quedo atento a tus comentarios.Saludos,Marilyn;marilyn@get.lerian.studio;phishing
Menos conciliacion manual para Fogapi;"Hola Jenny. Te escribo para recordarte el correo que envié anteriormente sobre cómo Lerian <https://www3.lerian.studio/r/294a17e0-d645-55ac-95c8-df627e12b7ca> puede ayudar a Fogapi a mejorar su infraestructura financiera con nuestro enfoque de construye menos posee más"". Ofrecemos control total con nuestro modelo de código fuente disponible y sin tarifas por transacción. Cuando tengas tiempo me encantaría saber si te interesa explorar cómo podemos apoyar a Fogapi. Si no eres la persona indicada para estas decisiones agradecería que reenvíes este mensaje a quien corresponda. Quedo atento a tus comentarios. Saludos Marilyn""";marilyn@get.lerian.studio;phishing
Restablecimiento obligatorio de contraseña corporativa;Estimado colaborador, por políticas de seguridad de TI, su contraseña de Office 365 vence hoy. Para no perder acceso a su correo y OneDrive, restablézcala ahora ingresando su usuario y contraseña actual en el portal habilitado: RESTABLECER CONTRASEÑA. Mesa de Ayuda TI;soporte-it@office365-verificacion.com;phishing
Notificación de fiscalización tributaria en curso;Estimado contribuyente, como parte de un proceso de fiscalización se ha detectado una diferencia entre lo declarado y lo registrado en nuestros sistemas. Debe sustentar la información ingresando a su expediente electrónico con su Clave SOL dentro de las próximas 48 horas, caso contrario se generará una orden de pago automá¡tica. Intendencia Nacional de Fiscalización, SUNAT;expediente@sunat-gob-consultas.com;phishing
Su licencia de Microsoft 365 ha caducado;Estimado usuario, el sistema detectó que la licencia asociada a su cuenta corporativa de Microsoft 365 venció y sus archivos en OneDrive dejarán de sincronizarse en 24 horas. Renueve su acceso ingresando con su correo y contraseÃ±a habituales en el portal de licenciamiento. Equipo de Administración de Licencias Microsoft;licencias@microsoft-renovaciones.com;phishing
Verificación en dos pasos deshabilitada en tu cuenta;Hemos notado que la verificación en dos pasos de tu cuenta de Google fue deshabilitada desde un dispositivo no reconocido. Si no realizaste este cambio, tu cuenta podría estar en riesgo. Restablece la verificación de inmediato confirmando tu contraseÃ±a en el siguiente enlace. Equipo de Confianza y Seguridad de Google;confianza-seguridad@accounts-google-support.com;phishing
Sentinel Mail: su bandeja alcanzó el límite de seguridad;Estimado usuario, nuestro sistema de protección Sentinel Mail detectó que su bandeja de entrada superó el límite permitido de almacenamiento seguro. Los mensajes nuevos serán rechazados hasta que valide su cuenta. Ingrese sus credenciales en el panel de Sentinel para liberar espacio de forma automática. Soporte Sentinel Mail;soporte@sentinelmail-gestion.com;phishing
Fianza Perú: su garantí­a requiere actualización inmediata;Estimado cliente, hemos detectado que la documentación asociada a su carta fianza vigente presenta observaciones que podrí­an derivar en la anulación de la garantí­a. Para regularizar su expediente, ingrese al portal de Fianza Perú con su usuario y clave y actualice sus datos bancarios antes del cierre del periodo. área de Gestión de Garantí­as, Fianza Perú;garantias@fianzaperu-gestion.com;phishing
Acceso a la nueva VPN institucional;Estimados colaboradores, les informamos que a partir del lunes se habilitará el nuevo cliente de VPN institucional. Encontrarán el instructivo de instalación en la intranet, en la sección de Tecnología de la Información. Cualquier duda, comunicarse con la mesa de ayuda en horario de oficina. Área de TI;soporte.ti@fopo.gob.pe;phishing
